name,id,desc,type,access,val
"AHUConfig.Config_Select_Remote2_ReHeat_Mode_MaskText",101,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Remote3_ReHeat_Mode_MaskText",102,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Mask_Sum_SetPoints_Enable",108,"",BOOL,RW,"0"
"AHUConfig.Mask_Sum_Startup2_Enable",109,"",BOOL,RW,"0"
"AHUConfig.Mask_Sum_Startup3_Enable",110,"Glycol Startup Screen 1",BOOL,RW,"0"
"AHUConfig.Mask_Sum_Startup4_Enable",111,"Glycol Startup Screen 1",BOOL,RW,"0"
"AHU_Config_AuxStartupRequirement1_Enable.Enabled",113,"AHU Configuration - External Startup Requirement 1 - Enabled",BOOL,RW,"0"
"AHU_Config_AuxStartupRequirement2_Enable.Enabled",115,"AHU Configuration - External Startup Requirement 2 - Enabled",BOOL,RW,"0"
"AHU_Config_ByPassDamper_Enable.Enabled",117,"AHU Configuration - By Pass Damper Enable - Enabled",BOOL,RW,"0"
"AHU_Config_CabHeater_Enable.Enabled",119,"AHU Configuration - Cabinet heater - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_LowLimit_Input.Mode",120,"AHU Configuration - Cooling Low Limit Input Mode (0=None, 1=CCDA, 2-5=Stage1 to 4 Suction Pressure)",INT,RW,"0"
"AHU_Config_Cooling_LowLimit_SetPointMode.Mode",132,"AHU Configuration - Cooling Low Limit Set Point Mode (0=None, 1=Chilled Water, 2 = DX)",INT,RW,"0"
"AHU_Config_Cooling_Mode.Mode",144,"AHU Configuration - Cooling Mode (0=None, 1=Cool/Dehum Max, 2=Stage1Modulate,Stage2Fixed, 3=MultiZones DX)",INT,RW,"0"
"AHU_Config_Cooling_OA2_Compressor_Tandum.Mode",156,"AHU Configuration - Outdoor Air 2 - Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_Cooling_OA_Compressor_Tandum.Mode",168,"AHU Configuration - Outdoor Air - Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_Cooling_Stage1_CompOilRecovery.Enabled",180,"AHU Configuration - Cooling Stage 1 - Enabled if Compressor to have Oil Recovery - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_Compressor_TXVsync.Enabled",181,"AHU Configuration - Cooling Stage 1 - Enabled if Compressor to have TX Valve Sync - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_Compressor_Tandum.Mode",182,"AHU Configuration - Cooling Stage 1 - Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_Cooling_Stage1_Condenser_Enable.Enabled",195,"AHU Configuration - Cooling Stage 1 - Stage has a Condenser - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_GlycolReturnTemp_Enable.Enabled",197,"AHU Configuration - Cooling Stage 1 - Glycol Return Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_GlycolSupplyTemp_Enable.Enabled",199,"AHU Configuration - Cooling Stage 1 - Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_HeadPressure_Enable.Enabled",201,"AHU Configuration - Cooling Stage 1 - Monitoring Head Pressure - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_HotGasValve_Modbus_Enable.Enabled",203,"Cooling Stage 1 - Hot Gas Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_HotGas_Enable.Enabled",205,"AHU Configuration - Cooling Stage 1 - Hot Gas - Enabled",BOOL,RW,"1"
"AHU_Config_Cooling_Stage1_LeavingAirTemp_Sensor_Enable.Enabled",207,"AHU Configuration - Cooling Stage 1 - Leaving Air Temp Sensor - Enabled",BOOL,RW,"1"
"AHU_Config_Cooling_Stage1_Mode.Mode",208,"AHU Configuration - Cooling Stage 1 - Mode (1 = Chilled Water, 2 = DX On by SucP, 3 = DX On by LLS, 4 = DX On by ControlSig)",INT,RW,"3"
"AHU_Config_Cooling_Stage1_Pump.Enabled",220,"AHU Configuration - Cooling Stage 1 - Water Pump - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage1_TXV_Modbus_Enable.Enabled",222,"Cooling Stage 1 - TXV Valve Modbus Control Enable - Enabled",BOOL,RW,"1"
"AHU_Config_Cooling_Stage1_TXValve_Enable.Mode",223,"AHU Configuration - Cooling Stage 1 - Unit has a TX Valve",INT,RW,"2"
"AHU_Config_Cooling_Stage1_TankAlarm.Enabled",235,"AHU Configuration - Cooling Stage 1 - Glycol Tank Alarm - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_CompOilRecovery.Enabled",236,"AHU Configuration - Cooling Stage 2 - Enabled if Compressor to have Oil Recovery - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_Compressor_TXVsync.Enabled",237,"AHU Configuration - Cooling Stage 2 - Enabled if Compressor to have TX Valve Sync - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_Compressor_Tandum.Mode",238,"AHU Configuration - Cooling Stage 2 - Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_Cooling_Stage2_Condenser_Enable.Enabled",251,"AHU Configuration - Cooling Stage 2 - Stage has a Condenser - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_GlycolReturnTemp_Enable.Enabled",253,"AHU Configuration - Cooling Stage 2 - Glycol Return Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_GlycolSupplyTemp_Enable.Enabled",255,"AHU Configuration - Cooling Stage 2 - Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_HeadPressure_Enable.Enabled",257,"AHU Configuration - Cooling Stage 2 - Monitoring Head Pressure - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_HotGasValve_Modbus_Enable.Enabled",259,"Cooling Stage 2 - Hot Gas Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_HotGas_Enable.Enabled",261,"AHU Configuration - Cooling Stage 2 - Hot Gas - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_LeavingAirTemp_Sensor_Enable.Enabled",263,"AHU Configuration - Cooling Stage 2 - Leaving Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_Mode.Mode",264,"AHU Configuration - Cooling Stage 2 - Mode (1 = Chilled Water, 2 = DX On by SucP, 3 = DX On by LLS, 4 = DX On by ControlSig)",INT,RW,"0"
"AHU_Config_Cooling_Stage2_Pump.Enabled",276,"AHU Configuration - Cooling Stage 2 - Water Pump - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_TXV_Modbus_Enable.Enabled",278,"Cooling Stage 2 - TX V Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage2_TXValve_Enable.Mode",279,"AHU Configuration - Cooling Stage 2 - Has a TX Valve",INT,RW,"0"
"AHU_Config_Cooling_Stage2_TankAlarm.Enabled",291,"AHU Configuration - Cooling Stage 2 - Glycol Tank Alarm - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_CompOilRecovery.Enabled",292,"AHU Configuration - Cooling Stage 2 - Enabled if Compressor to have Oil Recovery - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_Compressor_TXVsync.Enabled",293,"AHU Configuration - Cooling Stage 3 - Enabled if Compressor to have TX Valve Sync - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_Compressor_Tandum.Mode",294,"AHU Configuration - Cooling Stage 3 - Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_Cooling_Stage3_Condenser_Enable.Enabled",307,"AHU Configuration - Cooling Stage 3 - Stage has a Condenser - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_GlycolReturnTemp_Enable.Enabled",309,"AHU Configuration - Cooling Stage 3 - Glycol Return Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_GlycolSupplyTemp_Enable.Enabled",311,"AHU Configuration - Cooling Stage 3 - Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_HeadPressure_Enable.Enabled",313,"AHU Configuration - Cooling Stage 3 - Monitoring Head Pressure - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_HotGasValve_Modbus_Enable.Enabled",315,"Cooling Stage 3 - Hot Gas Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_HotGas_Enable.Enabled",317,"AHU Configuration - Cooling Stage 3 - Hot Gas - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_LeavingAirTemp_Sensor_Enable.Enabled",319,"AHU Configuration - Cooling Stage 3 - Leaving Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_Mode.Mode",320,"AHU Configuration - Cooling Stage 3 - Mode (1 = Chilled Water, 2 = DX On by SucP, 3 = DX On by LLS, 4 = DX On by ControlSig)",INT,RW,"0"
"AHU_Config_Cooling_Stage3_Pump.Enabled",332,"AHU Configuration - Cooling Stage 3 - Water Pump - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_TXV_Modbus_Enable.Enabled",334,"Cooling Stage 3 - TX Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage3_TXValve_Enable.Mode",335,"AHU Configuration - Cooling Stage 3 - Has a TX Valve",INT,RW,"0"
"AHU_Config_Cooling_Stage3_TankAlarm.Enabled",347,"AHU Configuration - Cooling Stage 3 - Glycol Tank Alarm - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_CompOilRecovery.Enabled",348,"AHU Configuration - Cooling Stage 4 - Enabled if Compressor to have Oil Recovery - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_Compressor_TXVsync.Enabled",349,"AHU Configuration - Cooling Stage 4 - Enabled if Compressor to have TX Valve Sync - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_Compressor_Tandum.Mode",350,"AHU Configuration - Cooling Stage 4 - Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_Cooling_Stage4_Condenser_Enable.Enabled",363,"AHU Configuration - Cooling Stage 4 - Stage has a Condenser - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_GlycolReturnTemp_Enable.Enabled",365,"AHU Configuration - Cooling Stage 4 - Glycol Return Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_GlycolSupplyTemp_Enable.Enabled",367,"AHU Configuration - Cooling Stage 4 - Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_HeadPressure_Enable.Enabled",369,"AHU Configuration - Cooling Stage 4 - Monitoring Head Pressure - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_HotGasValve_Modbus_Enable.Enabled",371,"Cooling Stage 4 - Hot Gas Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_HotGas_Enable.Enabled",373,"AHU Configuration - Cooling Stage 4 - Hot Gas - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_LeavingAirTemp_Sensor_Enable.Enabled",375,"AHU Configuration - Cooling Stage 4 - Leaving Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_Mode.Mode",376,"AHU Configuration - Cooling Stage 4 - Mode (1 = Chilled Water, 2 = DX On by SucP, 3 = DX On by LLS, 4 = DX On by ControlSig)",INT,RW,"0"
"AHU_Config_Cooling_Stage4_Pump.Enabled",388,"AHU Configuration - Cooling Stage 4 - Water Pump - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_TXV_Modbus_Enable.Enabled",390,"Cooling Stage 4 - TX Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Stage4_TXValve_Enable.Mode",391,"AHU Configuration - Cooling Stage 4 - Has a TX Valve",INT,RW,"0"
"AHU_Config_Cooling_Stage4_TankAlarm.Enabled",403,"AHU Configuration - Cooling Stage 4 - Glycol Tank Alarm - Enabled",BOOL,RW,"0"
"AHU_Config_Cooling_Zone1_Compressor_Tandum.Mode",404,"AHU Configuration - Zone 1 - Part of a Tandum set. ",INT,RW,"0"
"AHU_Config_Cooling_Zone2_Compressor_Tandum.Mode",416,"AHU Configuration - Zone 2 - Part of a Tandum set.",INT,RW,"0"
"AHU_Config_Cooling_Zone3_Compressor_Tandum.Mode",428,"AHU Configuration - Zone 3- Part of a Tandum set. (Number is set pair)",INT,RW,"0"
"AHU_Config_EA_Damper_Enable.Enabled",441,"AHU Configuration - Exhaust Air Damper - Enabled",BOOL,RW,"0"
"AHU_Config_EA_RH_Sensor_Enable.Enabled",443,"AHU Configuration - Exhaust Air Humidity Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_EA_T_Sensor_Enable.Enabled",445,"AHU Configuration - Exhaust Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_EVD1_StageMode.Mode",446,"AHU Configuration - Select which stage EVD is using.  If 1&2 Tandum, Select 1.",INT,RW,"0"
"AHU_Config_EVD2_StageMode.Mode",458,"AHU Configuration - Select which stage EVD is using.  If 3&4 Tandum, Select 1.",INT,RW,"0"
"AHU_Config_EVD3_StageMode.Mode",470,"AHU Configuration - Select which stage EVD is using.  If 3&4 Tandum, Select 1.",INT,RW,"0"
"AHU_Config_EVD4_StageMode.Mode",482,"AHU Configuration - Select which stage EVD is using.  If 3&4 Tandum, Select 1.",INT,RW,"0"
"AHU_Config_EVD5_StageMode.Mode",494,"AHU Configuration - Select which stage EVD is using.  If 3&4 Tandum, Select 1.",INT,RW,"0"
"AHU_Config_ExpBoard1_Enable.Enabled",507,"AHU Configuration - Expansion Board 1 - Enabled",BOOL,RW,"0"
"AHU_Config_ExpBoard2_Enable.Enabled",509,"AHU Configuration - Expansion Board 2 - Enabled",BOOL,RW,"0"
"AHU_Config_ExpBoard3_Enable.Enabled",511,"AHU Configuration - Expansion Board 3 - Enabled",BOOL,RW,"0"
"AHU_Config_ExpBoard4_Enable.Enabled",513,"AHU Configuration - Expansion Board 2 - Enabled",BOOL,RW,"0"
"AHU_Config_ExpBoard5_Enable.Enabled",515,"AHU Configuration - Expansion Board 5 - Enabled",BOOL,RW,"0"
"AHU_Config_Fan1_ConfigMode.Mode",516,"AHU Configuration - Fan1 Config",INT,RW,"0"
"AHU_Config_Fan2_ConfigMode.Mode",528,"AHU Configuration - Fan2 Config",INT,RW,"0"
"AHU_Config_Fan3_ConfigMode.Mode",540,"AHU Configuration - Fan3 Config",INT,RW,"0"
"AHU_Config_Fan4_ConfigMode.Mode",552,"AHU Configuration - Fan4 Config",INT,RW,"0"
"AHU_Config_Fan5_ConfigMode.Mode",564,"AHU Configuration - Fan5 Config",INT,RW,"0"
"AHU_Config_Fan6_ConfigMode.Mode",576,"AHU Configuration - Fan6 Config",INT,RW,"0"
"AHU_Config_Fan7_ConfigMode.Mode",588,"AHU Configuration - Fan7 Config",INT,RW,"0"
"AHU_Config_Fan8_ConfigMode.Mode",600,"AHU Configuration - Fan8 Config",INT,RW,"0"
"AHU_Config_FilterSwitch1_Sensor_Enable.Enabled",613,"AHU Configuration - Filter Switch 1 - Enabled",BOOL,RW,"0"
"AHU_Config_FilterSwitch2_Sensor_Enable.Enabled",615,"AHU Configuration - Filter Switch 2 - Enabled",BOOL,RW,"0"
"AHU_Config_FilterSwitch3_Sensor_Enable.Enabled",617,"AHU Configuration - Filter Switch 3 - Enabled",BOOL,RW,"0"
"AHU_Config_FilterSwitch4_Sensor_Enable.Enabled",619,"AHU Configuration - Filter Switch 4 - Enabled",BOOL,RW,"0"
"AHU_Config_HeatExchanger_Enable.Enabled",621,"AHU Configuration - Heat Exchanger is present - Enabled",BOOL,RW,"0"
"AHU_Config_Humidifier_Enable.Enabled",623,"AHU Configuration - Humidifier - Enabled",BOOL,RW,"0"
"AHU_Config_OA2_Cooling_CompOilRecovery.Enabled",624,"AHU Configuration - Outdoor Air Enabled if Compressor to have Oil Recovery - Enabled",BOOL,RW,"0"
"AHU_Config_OA2_Cooling_Compressor_TXVsync.Enabled",625,"AHU Configuration - Outdoor Air Enabled if Compressor to have TX Valve Sync - Enabled",BOOL,RW,"0"
"AHU_Config_OA2_Cooling_HotGasValve_Modbus_Enable.Enabled",627,"AHU Configuration - Outdoor Air - Hot Gas Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_OA2_Cooling_HotGas_Enable.Enabled",629,"AHU Configuration - Outdoor Air - Hot Gas - Enabled",BOOL,RW,"0"
"AHU_Config_OA2_Cooling_TXV_Modbus_Enable.Enabled",631,"AHU Configuration - Outdoor Air - TXV Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_OA2_Cooling_TXValve_Enable.Mode",632,"AHU Configuration - Outdoor Air - Has a TX Valve",INT,RW,"0"
"AHU_Config_OA_CoolingCoil_LAT_Sensor_Enable.Enabled",645,"AHU Configuration - Outdoor Air Cooling Coil Leaving Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_OA_Cooling_CompOilRecovery.Enabled",646,"AHU Configuration - Outdoor Air Enabled if Compressor to have Oil Recovery - Enabled",BOOL,RW,"0"
"AHU_Config_OA_Cooling_Compressor_TXVsync.Enabled",647,"AHU Configuration - Outdoor Air Enabled if Compressor to have TX Valve Sync - Enabled",BOOL,RW,"0"
"AHU_Config_OA_Cooling_HotGasValve_Modbus_Enable.Enabled",649,"Outdoor Air - Hot Gas Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_OA_Cooling_HotGas_Enable.Enabled",651,"AHU Configuration - Outdoor Air - Hot Gas - Enabled",BOOL,RW,"0"
"AHU_Config_OA_Cooling_TXV_Modbus_Enable.Enabled",653,"Outdoor Air - TXV Valve Modbus Control Enable - Enabled",BOOL,RW,"0"
"AHU_Config_OA_Cooling_TXValve_Enable.Mode",654,"AHU Configuration - Outdoor Air - Has a TX Valve",INT,RW,"0"
"AHU_Config_OA_Damper_Enable.Enabled",667,"AHU Configuration - Outdoor Air Damper - Enabled",BOOL,RW,"0"
"AHU_Config_OA_RH_Sensor_Enable.Enabled",669,"AHU Configuration - Outdoor Air Humidity Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_OA_T_Sensor_Enable.Enabled",671,"AHU Configuration - Outdoor Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_PreHeat_Boiler_Enable.Enabled",673,"AHU Configuration - PreHeat Boiler - Enabled",BOOL,RW,"0"
"AHU_Config_PreHeat_GlycolReturnTemp_Enable.Enabled",675,"AHU Configuration - PreHeat Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_PreHeat_GlycolSupplyTemp_Enable.Enabled",677,"AHU Configuration - PreHeat Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_PreHeat_Pump_Enable.Enabled",679,"AHU Configuration - Preheat Water Pump - Enabled",BOOL,RW,"0"
"AHU_Config_PreHeat_TankAlarm.Enabled",680,"AHU Configuration - PreHeat Glycol Tank Alarm - Enabled",BOOL,RW,"0"
"AHU_Config_PreHeat_Type.Mode",681,"AHU Configuration - Preheat Type (0=None, 1=Electric, 2=Hot Water)",INT,RW,"0"
"AHU_Config_RA_RH_Sensor_Enable.Enabled",694,"AHU Configuration - Return Air RH Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_RA_T_Sensor_Enable.Enabled",696,"AHU Configuration - Return Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_Boiler_Enable.Enabled",698,"AHU Configuration - ReHeat Boiler - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_Condenser_Enable.Enabled",700,"AHU Configuration - Condenser Reheat Enable - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_GlycolReturnTemp_Enable.Enabled",702,"AHU Configuration - ReHeat Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_GlycolSupplyTemp_Enable.Enabled",704,"AHU Configuration - ReHeat Glycol Supply Temp Enable - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_InputMode.Mode",705,"AHU Configuration - Reheat Input (0 = SA Temp, 1 = Rm Temp)",INT,RW,"0"
"AHU_Config_ReHeat_Pump_Enable.Enabled",718,"AHU Configuration - Reheat Water Pump - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_TankAlarm.Enabled",719,"AHU Configuration - ReHeat Glycol Tank Alarm - Enabled",BOOL,RW,"0"
"AHU_Config_ReHeat_Type.Mode",720,"AHU Configuration - ReHeat Type (0=None, 1=Electric, 2=Hot Water)",INT,RW,"0"
"AHU_Config_Reheat_Condenser_LeavingAirTemp_Enable.Enabled",733,"AHU Configuration - Reheat Leaving Air Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Reheat_MultiRm.Enabled",734,"AHU Configuration - Reheat using Multi-Room Heaters - Enabled",BOOL,RW,"0"
"AHU_Config_Reheat_Scaler_Enable.Enabled",736,"AHU Configuration - Enables Reheat Scaler, otherwise direct SA or Rm SetPoint - Enabled",BOOL,RW,"0"
"AHU_Config_Remote1_ReHeat_Boiler_Enable.Enabled",738,"AHU Configuration - Remote 1 Reheat has Boiler - Enabled",BOOL,RW,"0"
"AHU_Config_Remote1_ReHeat_Enable.Enabled",740,"AHU Configuration - Remote 1 Controlled Reheat - Enabled",BOOL,RW,"0"
"AHU_Config_Remote1_ReHeat_InputMode.Mode",741,"AHU Configuration - Remote 1 Reheat Input (0 = SA Temp, 1 = Rm Temp)",INT,RW,"0"
"AHU_Config_Remote1_ReHeat_Type.Mode",753,"AHU Configuration - Remote 1 ReHeat Type (0=None, 1=Electric, 2=Hot Water)",INT,RW,"0"
"AHU_Config_Remote1_Rm_RH2_Sensor_Enable.Enabled",766,"AHU Configuration - Remote 1 Room RH 2 Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote1_Rm_RH_Sensor_Enable.Enabled",768,"AHU Configuration - Remote 1 Room RH Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote1_Rm_T2_Sensor_Enable.Enabled",770,"AHU Configuration - Remote 1 Room Temp 2 Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote1_Rm_T_Sensor_Enable.Enabled",772,"AHU Configuration - Remote 1 Room Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote2_ReHeat_Boiler_Enable.Enabled",774,"AHU Configuration - Remote 2 Reheat has Boiler - Enabled",BOOL,RW,"0"
"AHU_Config_Remote2_ReHeat_Enable.Enabled",776,"AHU Configuration - Remote 2 Controlled Reheat - Enabled",BOOL,RW,"0"
"AHU_Config_Remote2_ReHeat_InputMode.Mode",777,"AHU Configuration - Remote 2 Reheat Input (0 = SA Temp, 1 = Rm Temp)",INT,RW,"0"
"AHU_Config_Remote2_ReHeat_Type.Mode",789,"AHU Configuration - Remote 2 ReHeat Type (0=None, 1=Electric, 2=Hot Water)",INT,RW,"0"
"AHU_Config_Remote2_Rm_RH2_Sensor_Enable.Enabled",802,"AHU Configuration - Remote 2 Room RH 2 Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote2_Rm_RH_Sensor_Enable.Enabled",804,"AHU Configuration - Remote 2 Room RH Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote2_Rm_T2_Sensor_Enable.Enabled",806,"AHU Configuration - Remote 2 Room Temp 2 Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote2_Rm_T_Sensor_Enable.Enabled",808,"AHU Configuration - Remote 2 Room Temp Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote3_ReHeat_Boiler_Enable.Enabled",810,"AHU Configuration - Remote 3 Reheat has Boiler - Enabled",BOOL,RW,"0"
"AHU_Config_Remote3_ReHeat_Enable.Enabled",812,"AHU Configuration - Remote 3 Controlled Reheat - Enabled",BOOL,RW,"0"
"AHU_Config_Remote3_ReHeat_InputMode.Mode",813,"AHU Configuration - Remote 3 Reheat Input (0 = SA Temp, 1 = Rm Temp)",INT,RW,"0"
"AHU_Config_Remote3_ReHeat_Type.Mode",825,"AHU Configuration - Remote 3 ReHeat Type (0=None, 1=Electric, 2=Hot Water)",INT,RW,"0"
"AHU_Config_Remote3_Rm_RH2_Sensor_Enable.Enabled",838,"AHU Configuration - Remote 3 Room RH 2 Sensor - Enabled",BOOL,RW,"0"
"AHU_Config_Remote3_Rm_RH_Sensor_Enable.Enabled",840,"AHU Configuration - Remote 3 Room RH Sensor - Enabled",BOOL,RW,"0"
